localizacao,descricao,detalhe_segundario,data,qtd_noites,valor,avaliacao
Apartamento em São Paulo,Studio aconchegante São Paulo!,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.535,"4,98 de uma avaliação média de 5, 64 avaliações
4,98 (64)"
Apartamento em São Paulo,Spa com JACUZZi privativa - Para datas especiais,"1 cama queen
1 cama queen","17 – 22 de jun.
17 – 22 de jun.",por 5 noites,R$5.400,"4,9 de uma avaliação média de 5, 124 avaliações
4,9 (124)"
Cabana em Mairiporã,Chalé do Lago,"1 cama king
1 cama king","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.910,"4,98 de uma avaliação média de 5, 87 avaliações
4,98 (87)"
Apartamento em São Paulo,Apartamento ao lado do metrô.,"Cancelamento gratuito
Cancelamento gratuito","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.235,"4,98 de uma avaliação média de 5, 65 avaliações
4,98 (65)"
Apartamento em São Paulo,Estúdio/Moderno/200 m Allianz/Piscina/Wi-Fi/Vaga,"1 cama de casal
1 cama de casal","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.932,"4,96 de uma avaliação média de 5, 108 avaliações
4,96 (108)"
Casa em Barueri,Casa 2 cômodos Barueri,"1 cama
1 cama","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$742,"4,95 de uma avaliação média de 5, 65 avaliações
4,95 (65)"
Apartamento em São Paulo,Estúdio Perdizes próx. Allianz e H. Albert Einstein,"1 cama
1 cama","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.173,"Novo lugar para ficar
Novo"
Casa em Chácara Inglesa,"Casa linda e rústica com piscina, próxima a tudo.","1 cama queen
1 cama queen","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$3.693,"4,93 de uma avaliação média de 5, 162 avaliações
4,93 (162)"
Apartamento em São Paulo,Estúdio VN Consolação,"1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$903,"4,94 de uma avaliação média de 5, 95 avaliações
4,94 (95)"
Condomínio em São Paulo,Solarium e um Belíssimo Terraço Garden 09,"Cancelamento gratuito
Cancelamento gratuito","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$1.552,"4,91 de uma avaliação média de 5, 187 avaliações
4,91 (187)"
Apartamento em São Paulo,26 Apt próx ao shop Anália Franco,"1 cama
1 cama","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$864,"4,83 de uma avaliação média de 5, 66 avaliações
4,83 (66)"
Apartamento em São Paulo,"Studio 07, varanda, lado metrô","1 cama
1 cama","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$867,"4,87 de uma avaliação média de 5, 62 avaliações
4,87 (62)"
Apartamento em Consolação,"Studio Design 51 | Ar C. Wi-Fi, 200m do Metrô","1 cama de casal
1 cama de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.001,"4,75 de uma avaliação média de 5, 234 avaliações
4,75 (234)"
Condomínio em Guarulhos,Studio com excelente localização,"1 cama
1 cama","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.232,"4,84 de uma avaliação média de 5, 165 avaliações
4,84 (165)"
Apartamento em São Paulo,Studio Apartamento loft com Vista Mirante do Vale,"1 cama
1 cama","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$2.402,"4,63 de uma avaliação média de 5, 32 avaliações
4,63 (32)"
Apartamento em São Paulo,Studio moderno no coração de SP | República,"1 cama de casal
1 cama de casal","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.064,"4,7 de uma avaliação média de 5, 541 avaliações
4,7 (541)"
Apartamento em São Paulo,Fantástico studio ao lado do Allianz Park,"2 camas
2 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.047,"4,73 de uma avaliação média de 5, 48 avaliações
4,73 (48)"
Apartamento em São Paulo,"Studio c/ piscina incrível, academia e próx. metrô","Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.236,"5,0 de uma avaliação média de 5, 8 avaliações
5,0 (8)"
Apartamento em São Paulo,Loft no Cond ON Paulista ao lado do metro Paraíso,"1 cama
1 cama","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.265,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,"SPA, Academia e Garagem a 10 min. a pé do Aero CGH","2 camas
2 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.230,"4,89 de uma avaliação média de 5, 55 avaliações
4,89 (55)"
Apartamento em São Paulo,Apto elegante em Moema e com estacionamento,"2 camas
2 camas","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.487,"4,78 de uma avaliação média de 5, 108 avaliações
4,78 (108)"
Apartamento em São Paulo,Studio lindo e seguro,"1 cama de casal
1 cama de casal","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$747,"4,92 de uma avaliação média de 5, 52 avaliações
4,92 (52)"
Loft em São Paulo,Estúdios Metrô Santana 02,"2 camas de solteiro
2 camas de solteiro","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$842,"4,97 de uma avaliação média de 5, 140 avaliações
4,97 (140)"
Apartamento em São Paulo,Estúdio Intimista próx av Paulist,"2 camas
2 camas","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$941,"5,0 de uma avaliação média de 5, 8 avaliações
5,0 (8)"
Apartamento em Guarulhos,"Completo, vaga, ar, sauna próx Maia Aeroporto GRU","2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.544,"4,79 de uma avaliação média de 5, 146 avaliações
4,79 (146)"
Casa em Taboão da Serra,Studio Delicinha com cozinha privativa e garagem,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$708,"4,96 de uma avaliação média de 5, 51 avaliações
4,96 (51)"
Apartamento em São Paulo,Apto ao lado do TREM inteiro individual completo,"Cancelamento gratuito
Cancelamento gratuito","11 – 16 de jun.
11 – 16 de jun.",por 5 noites,R$1.029,"4,92 de uma avaliação média de 5, 159 avaliações
4,92 (159)"
Apartamento em São Paulo,Belo studio com vista para a Vila Mariana,"1 cama de casal
1 cama de casal","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.201,"4,97 de uma avaliação média de 5, 30 avaliações
4,97 (30)"
Casa em Taboão da Serra,Studio Delicinha com cozinha privativa e garagem,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$708,"4,96 de uma avaliação média de 5, 51 avaliações
4,96 (51)"
Apartamento em São Paulo,Estúdio Intimista próx av Paulist,"2 camas
2 camas","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$941,"5,0 de uma avaliação média de 5, 8 avaliações
5,0 (8)"
Apartamento em Cotia,Studio novo e completo,"2 camas
2 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.092,"4,93 de uma avaliação média de 5, 28 avaliações
4,93 (28)"
Apartamento em São Paulo,26 Apt próx ao shop Anália Franco,"1 cama
1 cama","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$864,"4,83 de uma avaliação média de 5, 66 avaliações
4,83 (66)"
Apartamento em São Paulo,MA - Studio Silencioso Confortável - Garagem.,"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$970,"4,93 de uma avaliação média de 5, 55 avaliações
4,93 (55)"
Casa em Vila Rubi,Casa familiar e confortável para sua estadia.,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$593,"4,96 de uma avaliação média de 5, 113 avaliações
4,96 (113)"
Apartamento em São Paulo,Studio novo com ar-condicionado e sacada,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$976,"4,92 de uma avaliação média de 5, 50 avaliações
4,92 (50)"
Apartamento em São Paulo,Belo studio com vista para a Vila Mariana,"1 cama de casal
1 cama de casal","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.201,"4,97 de uma avaliação média de 5, 30 avaliações
4,97 (30)"
Apartamento em Centro Histórico de São Paulo,1025 - Um lugar aconchegante!,"Cancelamento gratuito
Cancelamento gratuito","11 – 16 de jun.
11 – 16 de jun.",por 5 noites,R$774,"4,76 de uma avaliação média de 5, 82 avaliações
4,76 (82)"
Apartamento em São Paulo,Apartamento sofisticado C/Vaga no Campo Belo,"2 camas
2 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.441,"4,95 de uma avaliação média de 5, 44 avaliações
4,95 (44)"
Casa em São Paulo,Conforto Na Medida Certa!,"Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$642,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Condomínio em São Paulo,Casa Contêiner Apto 05,"Cancelamento gratuito
Cancelamento gratuito","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$710,"4,86 de uma avaliação média de 5, 92 avaliações
4,86 (92)"
Apartamento em São Paulo,Acolhedor apto próximo da Av Paulista com garagem,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$936,"4,9 de uma avaliação média de 5, 181 avaliações
4,9 (181)"
Apartamento em São Paulo,"Studio 12, lado do metrô","1 cama
1 cama","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$867,"4,82 de uma avaliação média de 5, 57 avaliações
4,82 (57)"
Apartamento em São Paulo,Studio luxo e conforto em Vila Mariana,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.341,"5,0 de uma avaliação média de 5, 8 avaliações
5,0 (8)"
Apartamento em São Paulo,Studio aconchegante V. Formosa,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$690,"5,0 de uma avaliação média de 5, 5 avaliações
5,0 (5)"
Apartamento em São Paulo,Sofisticado Apto Moema Piscina com Vista 360°,"2 camas
2 camas","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.773,"4,75 de uma avaliação média de 5, 51 avaliações
4,75 (51)"
Apartamento em Guarulhos,Studio 17 - Praça dos Estudantes,"3 camas
3 camas","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.054,"4,94 de uma avaliação média de 5, 63 avaliações
4,94 (63)"
Casa em Mairiporã,Mansão Serra da Cantareira Mairiporã,"5 camas
5 camas","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$10.156,"5,0 de uma avaliação média de 5, 45 avaliações
5,0 (45)"
Apartamento em Picanço,1312 Studio próximo ao Aeroporto e Shopping Maia,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$879,"4,87 de uma avaliação média de 5, 87 avaliações
4,87 (87)"
Apartamento em São Paulo,Excelente localização Ibirapuera,"1 cama
1 cama","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.392,"4,81 de uma avaliação média de 5, 142 avaliações
4,81 (142)"
Apartamento em São Paulo,Studio Fabuloso ao Lado da Oscar Freire | 165,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.849,"4,67 de uma avaliação média de 5, 42 avaliações
4,67 (42)"
Apartamento em São Paulo,Apart. Lindo | Bairro Liberdade | Ar Condicionado,"2 camas
2 camas","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.061,"5,0 de uma avaliação média de 5, 21 avaliações
5,0 (21)"
Apartamento em São Paulo,Conforto e aconchego a 20 passos do metrô Carrão,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.158,"4,96 de uma avaliação média de 5, 55 avaliações
4,96 (55)"
Apartamento em São Paulo,Studio novo ao Side do Allianz Park,"1 cama de casal
1 cama de casal","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.461,"4,92 de uma avaliação média de 5, 84 avaliações
4,92 (84)"
Apartamento em São Paulo,Flat com piscina - O preferido da região,"Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$702,"4,7 de uma avaliação média de 5, 135 avaliações
4,7 (135)"
Casa de veraneio em Maracanã,Recanto San Remo - Atibaia Piscina Climatizada Sol,"3 camas
3 camas","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$3.371,"4,96 de uma avaliação média de 5, 114 avaliações
4,96 (114)"
Apartamento em São Paulo,v906 - loft de luxo | academia e mercado 24h,"Cancelamento gratuito
Cancelamento gratuito","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.222,"4,81 de uma avaliação média de 5, 121 avaliações
4,81 (121)"
Casa de campo em Franco da Rocha,Refúgio Madero.,"6 camas
6 camas","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$850,"4,92 de uma avaliação média de 5, 39 avaliações
4,92 (39)"
Apartamento em São Paulo,"Próx. Tokio, Vibra SP, Expo e a 8 min. a pé Metrô","2 camas
2 camas","7 – 12 de jun.
7 – 12 de jun.",por 5 noites,R$1.184,"4,96 de uma avaliação média de 5, 109 avaliações
4,96 (109)"
Apartamento em São Paulo,"apartamento, estúdio","1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$765,"4,88 de uma avaliação média de 5, 42 avaliações
4,88 (42)"
Apartamento em São Paulo,v312 - melhor lugar da vila mariana | fit | metrô,"1 cama de casal
1 cama de casal","10 – 15 de jun.
10 – 15 de jun.",por 5 noites,R$1.234,"4,79 de uma avaliação média de 5, 71 avaliações
4,79 (71)"
Casa em Campo Limpo Paulista,Casa na Colina com pôr do sol,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$5.135,"4,92 de uma avaliação média de 5, 24 avaliações
4,92 (24)"
Apartamento em São Paulo,Studio 1403 com vaga de garagem.,"2 camas
2 camas","10 – 15 de jun.
10 – 15 de jun.",por 5 noites,R$904,"4,83 de uma avaliação média de 5, 107 avaliações
4,83 (107)"
Apartamento em São Paulo,Estúdio Urbic Sabiá Moema,"1 cama de casal
1 cama de casal","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$1.149,"4,88 de uma avaliação média de 5, 25 avaliações
4,88 (25)"
Apartamento em Barra Funda,Apto Altíssimo padrão completo para até 4 pessoas,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.312,"4,84 de uma avaliação média de 5, 537 avaliações
4,84 (537)"
Apartamento em Barra Funda,Apto Altíssimo padrão completo para até 4 pessoas,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.312,"4,84 de uma avaliação média de 5, 537 avaliações
4,84 (537)"
Apartamento em São Paulo,Belo studio na charmosa Pompéia,"1 cama de casal
1 cama de casal","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$985,"4,74 de uma avaliação média de 5, 39 avaliações
4,74 (39)"
Apartamento em Guarulhos,Apartamento Moderno e Elegante,"1 cama de casal
1 cama de casal","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.027,"4,89 de uma avaliação média de 5, 9 avaliações
4,89 (9)"
Apartamento em Pompeia,Praticidade e conforto em Perdizes,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jul.
22 – 27 de jul.",por 5 noites,R$996,"4,73 de uma avaliação média de 5, 128 avaliações
4,73 (128)"
Loft em São Bernardo do Campo,LOFT Moderno São Bernardo do Campo,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.170,"4,8 de uma avaliação média de 5, 178 avaliações
4,8 (178)"
Apartamento em São Paulo,Apto Aconchegante entre Mooca e Anália Franco,"1 cama de casal
1 cama de casal","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$741,"4,94 de uma avaliação média de 5, 16 avaliações
4,94 (16)"
Apartamento em São Paulo,Estúdio chique na República,"1 cama
1 cama","10 – 15 de jun.
10 – 15 de jun.",por 5 noites,R$1.044,"5,0 de uma avaliação média de 5, 18 avaliações
5,0 (18)"
Apartamento em São Paulo,"Studio 02, Lado do metrô, cama king Size","Cancelamento gratuito
Cancelamento gratuito","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.070,"4,89 de uma avaliação média de 5, 84 avaliações
4,89 (84)"
Apartamento em São Paulo,Charmoso apto próximo da Av Paulista com garagem,"2 camas
2 camas","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$979,"4,89 de uma avaliação média de 5, 9 avaliações
4,89 (9)"
Apartamento em Campo Belo,Prático studio C/Vaga no Campo Belo,"2 camas
2 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.158,"4,91 de uma avaliação média de 5, 111 avaliações
4,91 (111)"
Apartamento em Vila Baruel,APTO 212 Pro Magno Anhembi Allianz Center Norte,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$482,"4,79 de uma avaliação média de 5, 71 avaliações
4,79 (71)"
Apartamento em São Paulo,Studio Lenia metrô Carrão,"1 cama
1 cama","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.003,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,Apê Família c/ AC e Wi-Fi em Condomínio Completo,"3 camas
3 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.669,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,Estúdio Moema Espaço de Casa OJ 2610 Jurupis,"1 cama
1 cama","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.484,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,Studio Novíssimo 150m Metrô Vila Madalena WSS35,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$1.016,"4,8 de uma avaliação média de 5, 69 avaliações
4,8 (69)"
Condomínio em São Paulo,Charmoso Studio em Moema,"1 cama de casal
1 cama de casal","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$861,"4,82 de uma avaliação média de 5, 98 avaliações
4,82 (98)"
Apartamento em São Paulo,#HM1003 | Staycy Studio ao lado do Metro Brooklin!,"2 camas
2 camas","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.379,"4,63 de uma avaliação média de 5, 8 avaliações
4,63 (8)"
Casa em São Paulo,Casa com garagem em São Paulo,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$799,"4,9 de uma avaliação média de 5, 39 avaliações
4,9 (39)"
Casa em São Paulo,Casa com garagem em São Paulo,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$799,"4,9 de uma avaliação média de 5, 39 avaliações
4,9 (39)"
Apartamento em São Paulo,"Studio c/ piscina incrível, academia e próx. metrô","Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.236,"5,0 de uma avaliação média de 5, 8 avaliações
5,0 (8)"
Apartamento em São Paulo,09 Liberdade - Feirinha Ar Cond & Garagem incluso!,"1 cama
1 cama","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.125,"5,0 de uma avaliação média de 5, 13 avaliações
5,0 (13)"
Apartamento em São Paulo,Metrô. Ar condicionado,"1 cama de casal
1 cama de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$962,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,SX 105 Estúdio moderno e estiloso,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$609,"4,91 de uma avaliação média de 5, 129 avaliações
4,91 (129)"
Apartamento em São Paulo,Apart. Lindo | Bairro Liberdade | Ar Condicionado,"2 camas
2 camas","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.061,"5,0 de uma avaliação média de 5, 21 avaliações
5,0 (21)"
Apartamento em São Paulo,Ap 12° andar 300mts do metrô Barra Funda,"2 camas
2 camas","17 – 22 de jun.
17 – 22 de jun.",por 5 noites,R$1.229,"5,0 de uma avaliação média de 5, 83 avaliações
5,0 (83)"
Apartamento em São Paulo,Studio de Alto Padrão em Perdizes,"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$1.517,"4,95 de uma avaliação média de 5, 42 avaliações
4,95 (42)"
Suíte de hóspedes em São Paulo,Oscar Freire-Suite-Prox à Metrô- FSP-USPClínicas,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$824,"5,0 de uma avaliação média de 5, 30 avaliações
5,0 (30)"
Apartamento em São Paulo,"Studio 02, Lado do metrô, cama king Size","Cancelamento gratuito
Cancelamento gratuito","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.070,"4,89 de uma avaliação média de 5, 84 avaliações
4,89 (84)"
Apartamento em São Paulo,Studio novo e equipado - próximo ao Metrô Morumbi,"2 camas
2 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.518,"5,0 de uma avaliação média de 5, 37 avaliações
5,0 (37)"
Apartamento em São Paulo,Studio For You Moema em frente Shopping Ibirapuera,"1 cama de casal
1 cama de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.603,"4,98 de uma avaliação média de 5, 57 avaliações
4,98 (57)"
Apartamento em Picanço,1312 Studio próximo ao Aeroporto e Shopping Maia,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$879,"4,87 de uma avaliação média de 5, 87 avaliações
4,87 (87)"
Apartamento em São Paulo,Studio 9 andar| Expor Center Norte |Anhembi |Tietê,"2 camas
2 camas","19 – 24 de jun.
19 – 24 de jun.",por 5 noites,R$1.107,"5,0 de uma avaliação média de 5, 83 avaliações
5,0 (83)"
Loft em São Paulo,Metrô/ar cond./14 andar,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$890,
Apartamento em São Paulo,Studio novo com ar-condicionado e sacada,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$976,"4,92 de uma avaliação média de 5, 50 avaliações
4,92 (50)"
Apartamento em São Paulo,Studio perto Av. Paulista e 3 Min. metro Paulista,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.341,"5,0 de uma avaliação média de 5, 53 avaliações
5,0 (53)"
Casa de campo em Atibaia,Pousada de campo,"1 cama de casal
1 cama de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.288,"4,95 de uma avaliação média de 5, 128 avaliações
4,95 (128)"
Apartamento em São Paulo,Stúdio próximo ao Aeroporto Congonhas,"Cancelamento gratuito
Cancelamento gratuito","24 – 29 de jun.
24 – 29 de jun.",por 5 noites,R$976,"4,96 de uma avaliação média de 5, 67 avaliações
4,96 (67)"
Casa em Mairiporã,recanto da serra,"3 camas
3 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$2.659,"5,0 de uma avaliação média de 5, 8 avaliações
5,0 (8)"
Apartamento em São Paulo,"Viva SP com Conforto e Praticidade, Perto de Tudo","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.086,"4,92 de uma avaliação média de 5, 13 avaliações
4,92 (13)"
Apartamento em São Paulo,AP 1 Dorm - Vista Incrível,"1 cama de casal
1 cama de casal","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$924,"5,0 de uma avaliação média de 5, 16 avaliações
5,0 (16)"
Casa em Barueri,Casa Barueri otima localização,"1 cama
1 cama","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$730,"5,0 de uma avaliação média de 5, 5 avaliações
5,0 (5)"
Apartamento em São Paulo,Apt vista Vl Prudente ampla 250m metrô.,"1 sofá-cama
1 sofá-cama","7 – 12 de jun.
7 – 12 de jun.",por 5 noites,R$802,"Novo lugar para ficar
Novo"
Casa em Jandira,"Quarto,Cozinha e espaço para home Office no centro","1 cama
1 cama","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$858,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,Charmoso apto próximo da Av Paulista com garagem,"2 camas
2 camas","5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$979,"4,89 de uma avaliação média de 5, 9 avaliações
4,89 (9)"
Apartamento em São Paulo,Lindo AP Allianz Parque com piscina e vaga,"1 cama
1 cama","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.147,"4,97 de uma avaliação média de 5, 117 avaliações
4,97 (117)"
Apartamento em São Paulo,Apê c/vaga-Butantã Jockey Club-Divisa de Pinheiros,"Cancelamento gratuito
Cancelamento gratuito","25 – 30 de jun.
25 – 30 de jun.",por 5 noites,R$1.746,"5,0 de uma avaliação média de 5, 162 avaliações
5,0 (162)"
Apartamento em São Paulo,"Estúdio mto próximo: Puc, Allianz e Espaço Unimed","1 cama
1 cama","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.509,"4,99 de uma avaliação média de 5, 75 avaliações
4,99 (75)"
Apartamento em São Paulo,"SPA, Academia e Garagem a 10 min. a pé do Aero CGH","2 camas
2 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.230,"4,89 de uma avaliação média de 5, 55 avaliações
4,89 (55)"
Apartamento em São Paulo,Próx. a Av. Paulista e Metrô c/ Jacuzzi e Academia,"1 cama queen
1 cama queen","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.225,"Novo lugar para ficar
Novo"
Apartamento em Guarulhos,Apartamento Moderno e Elegante,"1 cama de casal
1 cama de casal","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.027,"4,89 de uma avaliação média de 5, 9 avaliações
4,89 (9)"
Apartamento em São Paulo,Studio R em frente ao metrô/ garagem gratis/centro,"1 cama de casal
1 cama de casal","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$873,"4,64 de uma avaliação média de 5, 44 avaliações
4,64 (44)"
Apartamento em São Paulo,Confortável Studio Arouche (803),"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$841,"4,81 de uma avaliação média de 5, 230 avaliações
4,81 (230)"
Apartamento em São Paulo,Bela Vista - Frei Caneca,"Cancelamento gratuito
Cancelamento gratuito","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$1.113,"4,96 de uma avaliação média de 5, 109 avaliações
4,96 (109)"
Apartamento em São Paulo,Encanto e charme: Lindo apê próximo da Paulista,"Cancelamento gratuito
Cancelamento gratuito","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.325,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,MA - Studio Clean Charme Vila Buarque Equipado,"1 cama queen
1 cama queen","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$924,"4,72 de uma avaliação média de 5, 36 avaliações
4,72 (36)"
Apartamento em São Paulo,Studio Decor ao lado do Metrô Alto da Boa Vista,"Cancelamento gratuito
Cancelamento gratuito","21 – 26 de jul.
21 – 26 de jul.",por 5 noites,R$1.179,"4,98 de uma avaliação média de 5, 108 avaliações
4,98 (108)"
